"OBJECTID","STOP_UID","STOP_AGENCY","STOP_ID","STOP_NAME","STOP_LAT","STOP_LON","STOP_CODE","LOCATION_TYPE","PARENT_STATION","WHEELCHAIR_BOARDING","INTERSECTION_CODE","STOP_PLACE","LONGITUDE","LATITUDE"
3522,MTS_60158,MTS,60158,Del Sol Bl & Ruette Parc Lido,32.57337942,-117.05643888,60158,0,,2,M-Street-W/B,,-117.05642701048,32.5733746709809
3523,MTS_60159,MTS,60159,Del Sol Bl & Picador Bl,32.57354344,-117.05363262,60159,0,,1,N-W/B,,-117.053620747467,32.5735386857799
3524,MTS_60161,MTS,60161,3rd St & G Av,32.69795497,-117.17863271,60161,0,,1,F-W/B,,-117.178620806807,32.6979502121726
3525,MTS_60162,MTS,60162,3rd St & E Av,32.69701241,-117.17641566,60162,0,,1,F-W/B,,-117.176403759107,32.6970076570875
3526,MTS_60163,MTS,60163,3rd St & Orange Av,32.69612958,-117.17429355,60163,0,,1,F-W/B,,-117.174281649249,32.6961248168925
3527,MTS_60164,MTS,60164,3rd St & C Av,32.69558141,-117.17298761,60164,0,,1,F-W/B,,-117.172975706535,32.6955766512064
3528,MTS_60165,MTS,60165,1st St & B Av,32.69795871,-117.17006747,60165,0,,1,F-W/B,1stfer,-117.170055571385,32.6979539518672
3529,MTS_60166,MTS,60166,National Av & Beardsley St,32.70201103,-117.14679882,60166,0,,1,F-W/B,,-117.146786922595,32.7020062704797
3530,MTS_60171,MTS,60171,Palm Av & 3rd St,32.58403622,-117.12783936,60171,0,,1,F-W/B,,-117.127827468676,32.584031476111
3531,MTS_60173,MTS,60173,Palm Av & Corvina St,32.58402606,-117.12463184,60173,0,,1,F-W/B,,-117.124619953917,32.5840213159776
3532,MTS_60176,MTS,60176,Imperial Beach Bl & California St,32.5767063,-117.1219949,60176,0,,1,M-Street-W/B,,-117.121983014794,32.5767015553615
3533,MTS_60178,MTS,60178,Palm Av & 9th St,32.58412936,-117.1150658,60178,0,,1,F-W/B,pal9th,-117.115053917457,32.5841246146828
3534,MTS_60179,MTS,60179,Palm Av & 11th St,32.58406036,-117.1107929,60179,0,,1,F-W/B,,-117.110781019886,32.5840556087876
3535,MTS_60181,MTS,60181,Imperial Beach Bl & 13th St,32.57663667,-117.10606562,60181,0,,1,F-W/B,,-117.106053735939,32.5766319239469
3536,MTS_60182,MTS,60182,Imperial Beach Bl & Granger St,32.57662625,-117.10241691,60182,0,,1,F-W/B,,-117.102405025348,32.5766215049784
3537,MTS_60183,MTS,60183,Coronado Av & Thermal Av,32.57661544,-117.09761259,60183,0,,1,F-W/B,thmcor,-117.097600706822,32.5766106921918
3538,MTS_60184,MTS,60184,Iris Av & 13th St,32.56908767,-117.10472331,60184,0,,1,F-E/B,13iris,-117.104711424474,32.569082922719
3539,MTS_60185,MTS,60185,Palm Av & Thermal Av,32.58402904,-117.0970767,60185,0,,1,F-W/B,,-117.097064823358,32.5840242878338
3540,MTS_60186,MTS,60186,13th St & Iris Av,32.56943066,-117.10559651,60186,0,,1,N-N/B,13iris,-117.105584627122,32.5694259147577
3541,MTS_60187,MTS,60187,Satellite Bl & Saturn Bl,32.56927252,-117.09346209,60187,0,,2,F-W/B,,-117.093450215751,32.5692677687583
3542,MTS_60188,MTS,60188,Coronado Av & Saturn Bl,32.57664816,-117.09324691,60188,0,,1,F-W/B,,-117.093235027579,32.5766434146033
3543,MTS_60189,MTS,60189,Coronado Av & Green Bay St,32.57660389,-117.08886426,60189,0,,2,F-W/B,,-117.088852386091,32.5765991382744
3544,MTS_60190,MTS,60190,Coronado Av & Hollister St,32.57660382,-117.08482938,60190,0,,1,F-W/B,corhol,-117.084817498125,32.5765990737529
3545,MTS_60191,MTS,60191,Palm Av & Beejay Dr,32.58402452,-117.08038712,60191,0,,1,F-W/B,,-117.080375238031,32.5840197688374
3546,MTS_60192,MTS,60192,Broadway & Palomar St,32.6040727,-117.07904962,60192,0,,1,N-S/B,,-117.079037737479,32.6040679524472
3547,MTS_60193,MTS,60193,Palm Av & Desty St,32.58405339,-117.07732282,60193,0,,0,F-W/B,,-117.077310945823,32.584048637281
3548,MTS_60194,MTS,60194,Coronado Av & 27th St,32.57659577,-117.0762434,60194,0,,1,M-Street-W/B,,-117.076231524202,32.5765910194749
3549,MTS_60195,MTS,60195,Palm Av & Lanao Ln,32.58427987,-117.07469863,60195,0,,1,F-W/B,,-117.07468675796,32.5842751233478
3550,MTS_60196,MTS,60196,Coronado Av & Dearborn Dr,32.57658571,-117.0740522,60196,0,,1,F-W/B,,-117.074040323946,32.5765809659476
