,status_description,mobile_web_status,duplicate_verified,override_duplicate,requested_datetime,closed_date,open,closed,service_name,coordinates,lat,long,sap_problem_type
44095,Assigned,In process,0,0,2017-01-30T14:36:00,,1,0,Pothole,32.917600456411314-117.12843833154142,32.917600456399995,-117.128438332,Pothole
44097,Assigned,In process,0,0,2017-01-30T14:34:00,,1,0,Pothole,32.8180993-117.18545019999999,32.8180993,-117.1854502,Pothole
44122,Acknowledged,In process,0,0,2017-01-30T14:00:00,,1,0,Pothole,32.805642159259115-117.08165197296142,32.8056421593,-117.08165197299999,Pothole
44125,Acknowledged,In process,0,0,2017-01-30T13:57:00,,1,0,Pothole,32.794423396628225-117.06821947021484,32.794423396599996,-117.06821947,Pothole
44178,Acknowledged,In process,0,0,2017-01-30T12:04:00,,1,0,Pothole,32.57593092646517-117.08488671703338,32.5759309265,-117.084886717,Pothole
44197,Acknowledged,In process,0,0,2017-01-30T11:46:00,,1,0,Pothole,32.808504798785776-117.01123636480685,32.8085047988,-117.011236365,Pothole
44248,Assigned,In process,0,0,2017-01-30T10:13:00,,1,0,Pothole,32.83283-117.159273,32.83283,-117.159273,Pothole
44268,Acknowledged,In process,0,0,2017-01-30T09:41:00,,1,0,Pothole,32.7467188426574-117.10570602340698,32.7467188427,-117.105706023,Pothole
44283,Assigned,In process,0,0,2017-01-30T09:24:00,,1,0,Pothole,32.821857-117.26519100000002,32.821857,-117.26519099999999,Pothole
44285,Assigned,In process,0,0,2017-01-30T09:20:00,,1,0,Pothole,32.95982712367483-117.11627289241515,32.9598271237,-117.11627289200001,Pothole
44287,Assigned,In process,0,0,2017-01-30T09:18:00,,1,0,Curb,32.77009835469794-117.1283558384675,32.770098354699996,-117.12835583799999,Pothole
44328,Assigned,In process,0,1,2017-01-30T08:25:00,,1,0,Pothole,32.82162279370991-117.14874964047544,32.8216227937,-117.14874964,Pothole
44340,Acknowledged,In process,0,0,2017-01-30T08:00:00,,1,0,Pothole,32.800806-117.021908,32.800806,-117.02190800000001,Pothole
44344,Assigned,In process,0,0,2017-01-30T07:54:00,,1,0,Pothole,32.74559655500508-117.12610759786013,32.745596555,-117.12610759799999,Pothole
44346,Assigned,In process,0,0,2017-01-30T07:50:00,,1,0,Pothole,32.9338849-117.24769500000002,32.933884899999995,-117.247695,Pothole
